"","Age.ka.BP","Smoothed.LR04.d18O","Detrended.smoothed.d18O"
"1214",2657.5,3.14,3.52155583352222
"1215",2660,3.23,3.61237992819505
"1216",2662.5,3.05,3.43320402286789
"1217",2665,3.25,3.63402811754072
"1218",2667.5,3.24,3.62485221221356
"1219",2670,3.19,3.57567630688639
"1220",2672.5,3.2,3.58650040155923
"1221",2675,3.22,3.60732449623206
"1222",2677.5,3.36,3.74814859090489
"1223",2680,3.37,3.75897268557773
"1224",2682.5,3.54,3.92979678025056
"1225",2685,3.68,4.0706208749234
"1226",2687.5,3.75,4.14144496959623
"1227",2690,3.61,4.00226906426906
"1228",2692.5,3.53,3.9230931589419
"1229",2695,3.61,4.00391725361473
"1230",2697.5,3.57,3.96474134828757
"1231",2700,3.61,4.0055654429604
